// SG dataset(no skew)
[(801, 271.10955081182476), (744, 291.59431280201039), (780, 171.00000006990015)]
[(799, 271.16160809168514), (758, 293.34153544188155), (763, 171.00000006990012)]
[(800, 271.11555644746528), (729, 295.55053565011008), (754, 171.00000006990015)]
[(799, 271.15694183974148), (724, 293.87285842361786), (783, 171.00000006990004)]
[(805, 271.11650204493128), (742, 293.80037851338898), (780, 171.0000000699001)]
[(802, 271.12420883629397), (720, 291.51807346355554), (793, 171.0000000699001)]
[(797, 271.1801486027299), (717, 293.14584271405732), (765, 171.00000006990018)]
[(804, 271.13205660810598), (721, 291.82638961291826), (781, 171.00000006990012)]
[(802, 271.09876994483562), (738, 292.96829141603234), (765, 171.00000006990012)]
[(807, 271.12363376825772), (738, 292.93973389053127), (766, 171.0000000699001)]
